out_transport,flux_sum_micom_1,flux_sum_micom_2,flux_sum_micom_3,flux_sum_micom_4,flux_sum_micom_5
MNXM1108092[e],6455.20701194803,5440.20468368201,6366.04996341706,7439.65048914416,5186.7325946121
MNXM1108175[e],3524.92339336925,4588.73953237936,3340.75010491337,3460.89546072436,3421.68711657468
MNXM1108176[e],3702.90272495319,4045.44112658461,5017.19093227874,4576.03730555645,4665.11769353473
MNXM1108206[e],7654.15700085999,7909.77862941051,7119.04937836017,7554.41509876657,7816.54556977192
MNXM1118[e],7102.38521593161,7172.80612591942,7189.26585008025,7221.96148022799,7154.55895934018
MNXM112[e],0,0,0,0,0
MNXM1137656[e],3996.31786354518,3679.47169912239,4153.24531187417,3715.02039555376,1845.82047853226
MNXM1137663[e],86.7389331961554,103.090885488558,87.7650050575968,191.411058318258,169.016977243887
MNXM1137670[e],2081.99351125332,2115.22374599775,2155.76471097517,2161.54844571068,2155.54477113213
MNXM114[e],3786.69440790462,3795.75887186787,3908.67325809081,4665.40654001824,4988.92002065556
MNXM1148[e],0,0,0,0,0
MNXM1157[e],8093.61431601146,8135.86367302038,8086.11737188196,8108.97230508227,8088.21457957346
MNXM117[e],8993.4357528992,8977.17621582874,9981.30893453935,10002.8173711346,10000.8497322434
MNXM118[e],10402.5746995833,10495.9552309905,8818.78241999217,8769.54024687061,9086.75131145216
MNXM11903[e],0,0,0,0,0
MNXM12236[e],5968.38420240386,6284.00067868442,6148.34339418977,6509.97449650858,6234.81451870954
MNXM1233[e],0,0,0,0,0
MNXM124[e],265.658712185299,183.609312060581,193.357777638125,188.606983686502,355.194609184815
MNXM12480[e],0,0,0,0,0
MNXM124865[e],13471.2773002306,12969.5828049696,12728.194934127,12894.025639742,12253.54395401
MNXM1275[e],39.7242763127717,13.0822496938683,24.7098128027813,44.4562923977563,52.051282144878
MNXM128[e],7636.10990971856,7558.08700254213,7583.21524533013,7695.1577928805,7786.56108313171
MNXM13[e],7357.03019135868,7437.6147414485,6789.62367613554,7809.93557315878,7367.14933246489
MNXM142[e],12775.4616924705,12609.412987071,12523.0138912311,12400.6648099787,12531.0778192674
MNXM145924[e],0,0,0,0,0
MNXM146231[e],0,0,0,0,0
MNXM1485[e],0,0,0,0,0
MNXM1517[e],0,0,0,0,0
MNXM152246[e],0,0,0,0,0
MNXM1547[e],0,0,0,0,0
MNXM1562[e],2393.1013819738,2668.72137632976,2485.37020081503,2683.5216176109,2566.92196221533
MNXM1565[e],1000,1000,1000,999.999999999974,1000
MNXM158[e],4520.89142495833,4698.37865697398,4665.54066864026,4527.27698971753,4718.30752268962
MNXM1608[e],1000,1000,1000,1000,1000
MNXM164[e],64.2032193685794,46.042679045241,51.5845002704236,45.566849607531,88.850093687865
MNXM16413[e],0,0,0,0,0
MNXM1653[e],0,0,0,0,0
MNXM168[e],0,0,0,0,0
MNXM1692[e],0,0,0,0,0
MNXM169454[e],4903.31791250152,5175.97696639176,5230.58589070573,5174.5326769027,4790.17676506214
MNXM1734[e],0,0,0,0,0
MNXM174[e],406.32976085142,394.218238528645,384.091525992959,524.258657304469,635.531950099439
MNXM1747[e],2000,3000,1000,1000,1000
MNXM1771[e],2037.03657755798,2015.69482650781,2030.04759929257,2040.24744309751,2050.16202310385
MNXM1781[e],0,0,0,0,0
MNXM1812[e],0,0,0,0,0
MNXM19009[e],0,0,0,0,0
MNXM192[e],3042.19592557967,3031.66447689617,3029.99928693261,3014.96788358178,3006.64391674527
MNXM199[e],8135.04093480115,8086.12672033948,8021.02658948387,7878.06948562429,8350.72407803507
MNXM20[e],5175.43656400632,4260.24843815573,4180.84057091691,4193.64108619168,3412.11331928706
MNXM2029[e],2037.87082046957,2010.314698805,2027.47898618822,2041.76298698509,2050.13301855168
MNXM2150[e],13.0910613655,6.08344768350394,9.1137378875436,17.0715798500822,17.4591833957053
MNXM216[e],2975.80529372018,2978.30712531605,2965.65247474532,2001.28493137119,2990.52740904296
MNXM217[e],6475.17147989301,6530.38630351429,6557.24781209534,6509.20946315005,5766.74612293543
MNXM218[e],1000.90923015189,1000.04375425221,1000.14303600584,1008.1589398579,1003.70671153755
MNXM222[e],5413.9313792373,5397.92500832326,5443.77084465236,5402.62237962607,5354.84847067038
MNXM2255[e],4441.76341675823,4378.73723605491,4294.17752483019,3805.69114423635,4244.99899301121
MNXM2282[e],1653.72812042057,2181.31587728331,1724.77809516021,1305.83784866171,694.882649205814
MNXM23[e],1999.99999999163,1999.99999999695,2000.00000008095,2000.00000000613,1999.99999998043
MNXM236[e],72.7707837430123,39.7335896120397,54.7956724672025,74.6903551295585,90.1075178004989
MNXM249[e],4016.28581431741,4001.23703517631,4009.12195674571,4030.7177847514,4029.93095011597
MNXM2495[e],0,0,0,0,0
MNXM25[e],11033.3518171147,10804.0747540391,10691.1036502799,10390.8281290198,11279.9795507709
MNXM2527[e],0,0,0,0,0
MNXM2561[e],0,0,0,0,0
MNXM26[e],7305.12667130363,8710.13113495149,8708.83734659078,8224.69876512334,8625.36604637389
MNXM27[e],128509.240976078,129240.646648527,130225.958431742,127606.932032099,128011.097410999
MNXM270[e],5055.126440173,6043.89107486869,5041.93256581293,4032.69439867441,3059.70998275276
MNXM274[e],5100.69794405462,4069.13674432634,3099.1704507107,6003.84939320943,7279.992574901
MNXM2806[e],1038.38154282327,3950.14579487079,3924.04602994254,1095.52331730753,2027.69891095853
MNXM282[e],2206.57560426935,1353.10102307099,2298.76163647934,2007.30909941522,2121.68947799822
MNXM2861[e],3965.43987948951,3017.35054487278,4069.81229591277,4089.15981013519,4084.13508481947
MNXM289[e],4706.92221948428,5020.14623852261,6036.32561352653,5496.62876545818,3430.13439272526
MNXM29[e],6255.38857630813,6190.65535867272,6070.23582797075,7019.09337753207,5116.40023162246
MNXM2902[e],435.293021015934,407.334601433539,420.686619695976,473.374111763392,449.786947446014
MNXM291[e],5090.53866915981,5068.99845163243,4096.27131831747,4076.59570442449,4104.6887427304
MNXM304[e],8043.05400252192,8517.31138866866,8324.1865560024,8356.09708078624,8079.48226462313
MNXM3060[e],23.8916442955728,10.8037285714773,15.7734325945345,29.1186658743758,31.9374801465612
MNXM30887[e],0,0,0,0,0
MNXM311[e],4033.65135599351,3029.83865832267,3038.43022693549,5043.85040588487,4064.8445304601
MNXM3132[e],68.014637358074,32.6790878209025,49.5301939244489,67.4793989615235,85.8905899035327
MNXM314[e],1936.84116643998,1918.36568696438,1931.97043545653,1884.23032217185,1911.18344395584
MNXM32178[e],112.384535152024,91.1057845241569,97.8710422647942,116.799276590511,143.104113594157
MNXM3230[e],6012.7920270933,5987.39752988044,5981.82926753984,5972.3877388785,5973.96016601725
MNXM32692[e],25.0667823201058,36.1594205613771,25.1584371405789,25.0441412030801,30.7706786660669
MNXM328[e],2000.00000004871,2999.99999999975,1999.99999978007,1999.99999999913,2000.00000000039
MNXM3300[e],0,0,0,0,0
MNXM337[e],0,0,0,0,0
MNXM3382[e],0,0,0,0,0
MNXM341[e],1086.34191303073,1040.6900395815,1058.72651085316,1093.89528551679,1117.04178537918
MNXM3448[e],59.3804772195003,60.5518394008867,48.2876612603837,54.1031863800465,69.1900899849041
MNXM3449[e],13.0910613655,6.08344768350394,9.1137378875436,17.0715798500822,17.4591833957053
MNXM3453[e],125.348276778312,99.1897018875917,115.194106883258,117.593457207053,142.129726121931
MNXM3455[e],28.6187825663377,14.8868923688171,21.1057525725523,29.6547233818785,35.5250297625089
MNXM34740[e],39.3739881525737,27.9819264095797,32.1623232744917,40.9607221026023,50.57405060005
MNXM34809[e],12.1368912950469,3.84663829881271,8.12437170547315,12.0074105526726,13.5369600192407
MNXM34810[e],112.384535148594,91.105784523388,97.8710424407922,116.799276590491,143.104113594161
MNXM34811[e],33.3052895320025,18.2757079991274,24.9852576829317,33.236746256576,40.1274140573546
MNXM353[e],219.995154035555,185.50646833499,194.227157169743,393.348308019693,663.316253068523
MNXM355[e],0,0,0,0,0
MNXM367[e],0,0,0,0,0
MNXM3685[e],0,0,0,0,0
MNXM3693[e],35.3629861786842,33.9904970143055,31.5347911773791,37.3440500764255,44.6365443134666
MNXM37[e],10216.0403567682,10266.4435110595,10221.7413489128,10108.0696707344,10200.6532539284
MNXM3775[e],69.508570209306,37.1876794972266,50.2713632863798,67.7718763854839,87.1072970866289
MNXM383[e],0,0,0,0,0
MNXM386[e],7834.23354155138,7908.54704497555,7853.46730424963,7974.10283616659,7876.15292523548
MNXM39[e],6187.0495901348,7147.49732542486,5974.85008713515,5363.85224789317,5608.69735798134
MNXM398[e],0,0,0,0,0
MNXM402[e],179.38420650435,172.182715445364,163.569826622263,170.782325214455,215.548905121098
MNXM4026[e],0,0,0,0,0
MNXM40494[e],0,0,0,0,0
MNXM418[e],0,0,0,0,0
MNXM420[e],999.999999855012,1000.00000005093,999.999999742559,999.999999945796,999.999999911412
MNXM421[e],1998.4578639592,1999.96646045607,2999.07919503848,1998.80783420632,1998.33097356282
MNXM4217[e],386.309083514879,353.844862695525,366.392607888043,388.274540015264,365.858846531334
MNXM42654[e],1007.7053257364,1000.40223922756,1004.72966474019,0,0
MNXM435[e],5912.03701657987,7933.47404645988,5897.10938807085,7946.21371788559,8135.71273712612
MNXM444[e],0,0,0,0,0
MNXM458[e],3200.96033256701,4190.1127766132,3212.07106837521,3197.32533480854,3214.11168639664
MNXM460[e],1000,1000,1000,1000,1000
MNXM461[e],3138.42746321914,3092.04479727518,3106.32348086954,4072.08686313123,4191.18842329996
MNXM473[e],17.3820133794005,6.47643397116672,12.5564013143809,17.9725451629095,22.0569131580121
MNXM490899[e],925.037774192018,926.220109173534,916.159082831414,963.422803725227,916.324110579861
MNXM492[e],4000.00000004791,4000.00000006419,3999.9999994376,4000.0000003991,3999.99999989673
MNXM5[e],1006.02448272813,1003.78428990105,1004.11388338542,1011.19112504148,1012.78005686404
MNXM518[e],0,0,0,0,0
MNXM5266[e],22.734398721638,15.6291782767796,20.4576300703026,23.0622540110059,31.7352536212816
MNXM5269[e],29.7072073769401,23.3601971401506,24.9419478737542,26.2640617937712,34.5949355952693
MNXM5271[e],29.6453175759679,15.9105378338135,24.094798612789,27.3372142333819,35.6267503408955
MNXM5272[e],37.1261215934786,32.7310788440713,30.2269435871013,32.8951305553503,43.6765342572847
MNXM529[e],0,0,0,0,0
MNXM544[e],1189.60134531289,2491.43928508758,2097.3076302186,413.952615230316,1221.5732980866
MNXM58[e],11874.7522980494,11854.2733772259,11914.501310161,11924.5217272395,11942.3304399137
MNXM59271[e],14.1127328346907,5.943028545321,9.07833170099373,17.9200674816218,19.4883434307852
MNXM5970[e],12.8718272780478,4.78623161442963,7.64277039790068,5.25091126403186,5.39946795892127
MNXM601[e],745.19795591712,625.772434382472,612.460476692317,797.254954337979,643.631067530647
MNXM617[e],11513.4779578127,12473.3941773868,12670.084851643,12134.2192349283,11929.409441216
MNXM625[e],1000.00000000095,1000.00000001763,999.99999943371,1000.00000000007,999.999999998907
MNXM63489[e],33.3699000876374,13.5549840023564,20.8774225617578,37.6504784233969,44.4133878590074
MNXM636[e],0,0,0,0,0
MNXM6396[e],9.1125775702192,15.4006534769333,90.8842857837995,446.852778108645,42.6401200865927
MNXM647[e],6235.01676382353,7002.08179509417,6902.03649618777,6441.30579981496,7338.41209395283
MNXM652[e],5997.26971638922,4995.07331383428,5986.53886755342,6014.80927928275,6007.459015821
MNXM653[e],6198.14276276773,6352.10358128916,6365.05962082011,6258.99060964053,6438.82026157048
MNXM65309[e],0,0,0,0,0
MNXM66[e],947.417601681324,996.927235871424,1015.86708089293,1047.93905152899,1008.67195299145
MNXM660[e],0,0,0,0,0
MNXM664[e],48.0083367388763,17.8325682265624,24.3995143772124,69.817683520275,73.1577917343522
MNXM683[e],802.788245927524,834.215070033178,811.469337331998,834.42851704898,761.789706995558
MNXM694[e],0,0,0,0,0
MNXM704[e],0,0,0,0,0
MNXM722863[e],0,0,0,0,0
MNXM724515[e],10.8545458600265,4.09572091572982,10.0785546039421,22.3618599011095,6.13302634871678
MNXM726092[e],2.07728061099492,0.325971286754099,0.92863563241793,1006.97240939745,7.38022770008592
MNXM726339[e],583.535074386012,614.443323324541,632.217040496924,676.467744558928,686.236345853658
MNXM726637[e],2746.39622485901,2733.61368738391,3692.7334002204,3511.42388434038,3505.73409631035
MNXM726638[e],0,0,0,0,0
MNXM726711[e],4585.52548899929,4369.07608209195,4116.82366249316,3775.57948236942,4409.69981948273
MNXM726712[e],3484.82144244053,3732.28087414138,3749.92592549783,3398.55378917868,3677.52212662011
MNXM726800[e],0,0,0,0,0
MNXM726888[e],5172.32177034751,5135.08353129741,5162.92756764867,5164.92716631986,4193.14473693255
MNXM726951[e],0,0,0,0,0
MNXM727276[e],6004.06853661405,6008.54096209478,6003.28867477243,6003.46232821829,6006.38527693223
MNXM727657[e],6637.98769538815,7116.01425838947,6899.45246372992,7209.25390590818,6557.33176046624
MNXM727715[e],0,0,0,0,0
MNXM727746[e],0,0,0,0,0
MNXM728337[e],8183.63044471352,8058.66687996477,7933.62843565251,7916.12036634795,7974.424891347
MNXM728947[e],0,0,0,0,0
MNXM729215[e],4266.97699653004,4280.7750230932,4183.28658635571,3797.77764335717,4391.44966065073
MNXM729302[e],9629.04580374293,9795.46804077265,9914.04967380274,10356.5048194716,8878.1614467467
MNXM729358[e],39.4654952455076,21.4578817038087,29.8104144794082,41.4536088288079,49.9801038123761
MNXM729383[e],0,0,0,0,0
MNXM729595[e],0,0,0,0,0
MNXM729613[e],5818.63987663134,5887.61614482102,5958.11510658298,5790.0744700538,5857.17676012067
MNXM729800[e],7002.05576912982,7002.38274298999,6137.00547680376,6098.20431034758,6951.75166170045
MNXM729832[e],0,0,0,0,0
MNXM729972[e],4000.40528979329,4000.0067159287,4000.01307834407,3000.78233698556,3001.16095979815
MNXM730037[e],0,0,0,1007.94342307678,1007.15522739541
MNXM730135[e],8020.88657415958,8007.39771544425,8010.28850403036,8031.54199010781,8031.28948691527
MNXM730514[e],0,0,0,0,0
MNXM730561[e],0,0,0,0,0
MNXM730707[e],0,0,0,0,0
MNXM730708[e],0,0,0,0,0
MNXM731166[e],2520.69780254853,4592.97196543064,2627.07463963774,3401.87943563723,3499.77540783143
MNXM731178[e],0,0,0,0,0
MNXM731183[e],0,0,0,0,0
MNXM731368[e],0,0,0,0,0
MNXM731668[e],72.5539322546259,35.6002727375897,53.1049958182445,70.6585624967121,89.9955513621506
MNXM731815[e],2031.74793116412,2014.96990503781,2021.54496777601,2033.43607968087,2039.36301177156
MNXM731834[e],3837.07026469998,3835.49528896567,3824.82252483089,3758.46953918858,4795.20982258613
MNXM731835[e],6262.88240745282,6422.08979435134,6482.14334366652,5754.72986492378,6188.77208641502
MNXM731950[e],6752.75902293204,7421.42546353497,6119.06445253827,5811.16072700399,7045.05446026746
MNXM73204[e],0,0,0,0,0
MNXM732398[e],2319.06162417358,2626.63495554017,2514.18188970892,2488.59642815927,2722.50767766971
MNXM732487[e],0,0,0,0,0
MNXM732620[e],8013.69891509324,7056.39382885723,7927.82144521858,7179.65520310858,6198.89147445326
MNXM732757[e],0,0,0,0,0
MNXM733114[e],5660.82443968439,5514.07164166998,5534.40482659469,5768.90897320305,5913.38772310179
MNXM733186[e],3177.83095484187,3159.75534360437,3059.70885396903,1681.88768181642,3400.94833870046
MNXM733248[e],3002.74585410442,3938.46796378197,3946.09576973745,3031.98537754215,2031.02336855216
MNXM733250[e],0,0,0,0,0
MNXM733435[e],1716.15417835976,1753.72739528411,1739.89666468586,2525.60597916389,1545.1164627911
MNXM733471[e],71.343836623328,88.3858887293492,74.9878658531157,66.448446055958,86.9861850899125
MNXM733473[e],12.1368912950469,3.84663829881271,8.12437170547315,12.0074105526726,13.5369600192407
MNXM733515[e],0,0,0,0,0
MNXM733618[e],0,0,0,0,0
MNXM733623[e],3.0533799809997e-21,3.91868712826741e-20,4.48641918820428e-20,4.18905231927807e-16,5.46474657740035e-20
MNXM733828[e],0,0,0,0,0
MNXM733922[e],33.3052892375816,18.2757079980533,24.9852578972797,33.2367462565945,40.1274140572417
MNXM734041[e],2040.33005966481,2028.01724831964,2032.21969550719,2042.49393806826,2052.32382791773
MNXM734044[e],27.9430629120713,22.0688190850104,22.8876662384593,24.0629067310433,32.2929970391688
MNXM734750[e],0,0,0,0,0
MNXM734859[e],1163.07150214946,1115.99931144675,965.167022657004,551.713017365578,862.750056222956
MNXM734864[e],4824.52651305276,4774.27754152726,5778.18785630405,4814.0689479952,4858.66673771679
MNXM735090[e],6030.56148786925,6039.1745016397,6033.8994128796,7179.25603128042,6355.76889975017
MNXM735438[e],1274.467488945,1357.42404013506,1639.94127945795,1912.42855300272,1285.13658308927
MNXM735978[e],8141.10493923235,8195.65949478139,8074.89975002035,7875.22879020018,8174.05873748534
MNXM736064[e],3869.40035364879,3901.75075937556,3879.3770788139,3870.04557090336,3805.52394229863
MNXM736072[e],0,0,0,0,0
MNXM736095[e],0,0,0,0,0
MNXM736134[e],0,0,0,0,0
MNXM736226[e],1000,1000,1000,1000,1000
MNXM736341[e],0,0,0,0,0
MNXM736417[e],7779.65826183289,6743.68904555515,7383.17700452933,6512.00533546885,8076.07951761735
MNXM736618[e],161.396886653846,321.805197663375,384.79789958495,36.0925800604735,133.9447292398
MNXM736620[e],12.5309159603777,2.24706561759371,5.45462375829803,36.7538376368678,38.8900904758096
MNXM736685[e],0,0,0,0,0
MNXM736797[e],0,0,0,0,0
MNXM737068[e],2917.32534885976,2910.65733935963,2894.31817337289,2904.92339499579,2916.0016635609
MNXM737265[e],1004.36132326662,1000.0458770267,1003.34747285329,4.56555863130074,1005.22833247949
MNXM737340[e],9843.49906875693,10578.8462253261,10026.3053341376,8645.75197498965,9637.97457428921
MNXM737414[e],1432.68551162828,1407.2945508784,1420.59169432756,1467.55308010643,1443.22114438275
MNXM737417[e],1480.20137027817,1444.97489150626,1459.40898236075,1508.97303118539,1494.12768444383
MNXM737489[e],1382.82397240923,1353.8038626708,1366.30048227677,1382.47287170171,1359.07546083019
MNXM737492[e],2045.24258857626,2021.62849069266,2031.50995225787,2048.84191093643,2058.25714644081
MNXM737603[e],0,0,0,0,0
MNXM737701[e],0,0,0,0,0
MNXM737787[e],7175.44171881181,7168.21520611205,6303.35346733857,7201.65125334871,7365.0013075462
MNXM737824[e],18.6376126069366,6.52617090507268,11.5442312345095,19.7270378060248,24.8434366065624
MNXM737997[e],0,0,0,0,0
MNXM738068[e],4010.6762942608,4003.9867985076,4087.48490361816,4699.07097018256,4004.77383224101
MNXM738430[e],1000.0408052409,1000.02352292213,1000.04254893069,1006.87402137226,1004.94283788829
MNXM738432[e],0,0,0,0,0
MNXM738657[e],8.91630742895001,6.11173250647746,7.16403450835589,7.41821341585358,10.5756456189601
MNXM738663[e],9.21678249304601,3.6132203713391,5.61766947231569,10.3836476811025,12.3737058539438
MNXM738804[e],10004.6143706673,8991.62274609578,8985.79814645071,9998.98613908259,11000.4670295007
MNXM738834[e],2992.04263351604,2999.9645975985,2996.76938469715,2989.58269943188,2989.05664325553
MNXM739017[e],73.8004921691115,29.9648799529713,47.4240159449161,78.3421179010783,98.1661834574455
MNXM739272[e],3000,3000,3000,3000,3000
MNXM739275[e],1115.18982645817,1154.66677819138,1197.3386033547,1044.21972295895,1123.02370720545
MNXM739463[e],7.6356962014602,4.19437390750193,5.35840844018348,9.91594018719298,10.4483389869568
MNXM739527[e],9856.21051129189,9802.93155625045,10598.3219870507,10482.9505812517,11943.6669607727
MNXM739586[e],0,0,0,0,0
MNXM739592[e],67.5393930087123,77.0530888513832,57.0518688713163,62.8181230599686,79.1192027477082
MNXM739756[e],0,0,0,0,0
MNXM739788[e],0,0,0,0,0
MNXM739962[e],0,0,0,0,0
MNXM739991[e],1120.55551570289,1093.79001579028,1107.88146157664,1121.64982803785,1139.54254938891
MNXM739994[e],15.9664450630679,2.08278921410689,9.95266080335225,13.6521009334562,17.3613883705031
MNXM739997[e],14.5884771542772,9.84045247092841,10.9864632819045,14.131462704241,17.5720287090924
MNXM740231[e],13.542739336294,2.8547322832897,7.38193186859963,16.0189768939544,18.9908222277664
MNXM741004[e],0,0,0,0,0
MNXM741014[e],43.7460329735519,18.4621793382105,27.9980580553097,47.9684201736437,58.5386350819185
